Country Rank,Country / Territory,WB Code,Region,Country Rank,CPI 2014 Score,Surveys Used,Standard Error,CI_Lower,CI_Upper,Score_MIN,Score_MAX,AFDB,BF (SGI),BF (BTI),IMD,ICRG,WB,WEF,WJP,EIU,GI,PERC,FH,,,
26,France,FRA,EU,26,69,7,2.17,65,73,57,74,,57,,74,69,,67,71,71,73,,,,,
26,Qatar,QAT,ME,26,69,6,7.21,57,81,45,87,,,45,79,50,,87,,71,83,,,,,
29,Saint Vincent and the Grenadines,VCT,AM,29,67,3,4.64,59,75,58,73,,,,,,58,,,71,73,,,,,
30,Bhutan,BTN,AP,30,65,4,1.81,62,68,62,70,,,62,,,70,65,,,63,,,,,
31,Botswana,BWA,AF,31,63,6,1.93,60,66,58,71,,,62,,60,,58,66,71,63,,,,,
31,Cyprus,CYP,EU,31,63,5,3.92,57,69,49,71,,49,,,69,,65,,71,63,,,,,
31,Portugal,PRT,EU,31,63,7,3.36,57,69,50,73,,73,,50,60,,67,62,54,73,,,,,
31,Puerto Rico,PRI,AM,31,63,3,4.37,56,70,56,71,,,,,,,56,,71,63,,,,,
35,Poland,POL,EU,35,61,9,2.70,57,65,50,73,,73,66,63,50,,58,59,54,73,,55,,,
35,Taiwan,TWN,AP,35,61,7,4.17,54,68,48,79,,,79,65,50,,68,,54,63,48,,,,
37,Israel,ISR,ME,37,60,6,2.34,56,64,52,67,,65,,67,60,,60,,54,52,,,,,
37,Spain,ESP,EU,37,60,7,3.75,54,66,45,71,,57,,45,69,,48,62,71,63,,,,,
39,Dominica,DMA,AM,39,58,3,2.34,54,62,54,63,,,,,,58,,,54,63,,,,,
39,Lithuania,LTU,EU,39,58,8,3.85,52,64,41,71,,65,66,44,41,,55,,71,63,,55,,,
39,Slovenia,SVN,EU,39,58,9,3.03,53,63,40,73,,57,62,40,60,,56,53,54,73,,66,,,
42,Cape Verde,CPV,AF,42,57,4,5.94,47,67,42,70,62,,,,,70,55,,,42,,,,,
43,Korea (South),KOR,AP,43,55,9,2.64,51,59,44,73,,57,58,50,50,,53,73,54,52,44,,,,
43,Latvia,LVA,EU,43,55,8,3.35,49,61,41,73,,73,53,48,41,,58,,54,52,,60,,,
43,Malta,MLT,EU,43,55,5,2.63,51,59,49,63,,49,,,60,,50,,54,63,,,,,
43,Seychelles,SYC,AF,43,55,3,8.62,41,69,42,71,,,,,,,42,,71,52,,,,,
47,Costa Rica,CRI,AM,47,54,5,4.07,47,61,41,66,,,66,,41,,54,,54,52,,,,,
47,Hungary,HUN,EU,47,54,9,3.45,48,60,35,71,,49,58,35,50,,46,57,71,63,,52,,,
47,Mauritius,MUS,AF,47,54,4,2.39,50,58,49,60,,,49,,,,60,,54,52,,,,,
50,Georgia,GEO,EE,50,52,6,6.47,41,63,32,77,,,49,,,47,77,65,,32,,44,,,
50,Malaysia,MYS,AP,50,52,8,2.88,47,57,41,64,,,49,58,41,,64,57,54,42,50,,,,
50,Samoa,WSM,AP,50,52,3,4.88,44,60,42,58,,,,,,58,,,54,42,,,,,
53,Czech Republic,CZE,EU,53,51,9,2.94,46,56,36,63,,49,62,36,41,,48,53,54,63,,55,,,
54,Slovakia,SVK,EU,54,50,8,4.07,43,57,34,63,,57,62,34,41,,36,,54,63,,52,,,
55,Bahrain,BHR,ME,55,49,5,6.11,39,59,36,70,,,36,,50,,70,,38,52,,,,,
55,Jordan,JOR,ME,55,49,7,2.87,44,54,36,57,,,36,57,41,,52,50,54,52,,,,,
55,Lesotho,LSO,AF,55,49,5,3.55,43,55,42,63,42,,45,,,47,49,,,63,,,,,
55,Namibia,NAM,AF,55,49,5,4.00,42,56,38,63,,,49,,50,,47,,38,63,,,,,
55,Rwanda,RWA,AF,55,49,4,3.23,44,54,40,55,55,,40,,,47,,,,52,,,,,
55,Saudi Arabia,SAU,ME,55,49,5,6.69,38,60,36,73,,,36,,41,,73,,54,42,,,,,
61,Croatia,HRV,EU,61,48,9,3.25,43,53,31,66,,49,66,40,31,,46,47,54,52,,50,,,
61,Ghana,GHA,AF,61,48,8,3.01,43,53,37,58,55,,49,,41,58,37,37,54,52,,,,,
63,Cuba,CUB,AM,63,46,4,4.46,39,53,36,54,,,36,,41,,,,54,52,,,,,
64,Oman,OMN,ME,64,45,5,6.55,34,56,28,66,,,28,,41,,66,,38,52,,,,,
64,The FYR of Macedonia,MKD,EE,64,45,6,5.92,35,55,21,66,,,49,,,,66,46,21,42,,47,,,
64,Turkey,TUR,EE,64,45,8,2.69,41,49,35,57,,57,53,42,35,,47,48,38,42,,,,,
67,Kuwait,KWT,ME,67,44,5,5.24,35,53,32,63,,,32,,41,,46,,38,63,,,,,
67,South Africa,ZAF,AF,67,44,7,2.41,40,48,35,54,,,45,35,41,,49,42,54,42,,,,,
69,Brazil,BRA,AM,69,43,7,4.01,36,50,32,62,,,62,32,41,,35,42,38,52,,,,,
69,Bulgaria,BGR,EU,69,43,9,2.82,38,48,31,58,,49,58,36,31,,47,35,38,42,,47,,,
69,Greece,GRC,EU,69,43,7,5.56,34,52,21,63,,57,,37,31,,44,49,21,63,,,,,
69,Italy,ITA,EU,69,43,7,2.26,39,47,37,53,,49,,37,41,,42,53,38,42,,,,,
69,Romania,ROM,EU,69,43,9,3.60,37,49,23,57,,57,53,23,31,,46,43,38,42,,50,,,
69,Senegal,SEN,AF,69,43,8,2.28,39,47,32,54,45,,45,,41,47,41,41,54,32,,,,,
69,Swaziland,SWZ,AF,69,43,3,2.98,38,48,38,48,,,,,,,48,,38,42,,,,,
76,Montenegro,MON,EE,76,42,4,4.25,35,49,32,50,,,49,,,,50,,,32,,39,,,
76,Sao Tome and Principe,STP,AF,76,42,3,5.05,34,50,32,47,47,,,,,47,,,,32,,,,,
78,Serbia,SCG,EE,78,41,7,2.92,36,46,31,53,,,53,,31,,43,34,38,42,,47,,,
79,Tunisia,TUN,ME,79,40,6,1.72,37,43,32,43,,,32,,41,,42,43,38,42,,,,,
80,Benin,BEN,AF,80,39,4,4.38,32,46,32,47,47,,32,,,47,,,,32,,,,,
80,Bosnia and Herzegovina,BIH,EE,80,39,6,1.15,37,41,35,42,,,40,,,35,,38,38,42,,42,,,
80,El Salvador,SLV,AM,80,39,6,1.98,36,42,31,45,,,45,,31,,42,39,38,42,,,,,
80,Mongolia,MNG,AP,80,39,7,2.13,35,43,31,47,,,40,,31,47,41,32,38,42,,,,,
80,Morocco,MAR,ME,80,39,6,3.57,33,45,31,55,,,32,,31,,55,35,38,42,,,,,
85,Burkina Faso,BFA,AF,85,38,7,2.67,34,42,29,47,45,,32,,31,47,29,38,,42,,,,,
85,India,IND,AP,85,38,9,2.27,34,42,29,47,,,45,33,41,47,45,31,38,32,29,,,,
85,Jamaica,JAM,AM,85,38,6,1.80,35,41,31,43,,,36,,31,,43,41,38,42,,,,,
85,Peru,PER,AM,85,38,7,2.63,34,42,28,49,,,49,38,31,,41,28,38,42,,,,,
85,Philippines,PHL,AP,85,38,8,1.84,35,41,32,45,,,45,33,41,,43,42,38,32,33,,,,
85,Sri Lanka,LKA,AP,85,38,7,2.18,34,42,28,45,,,28,,41,35,39,45,38,42,,,,,
85,Thailand,THA,AP,85,38,8,1.60,35,41,31,44,,,40,33,31,,39,44,38,42,35,,,,
85,Trinidad and Tobago,TTO,AM,85,38,4,4.82,30,46,31,52,,,,,31,,33,,38,52,,,,,
85,Zambia,ZMB,AF,85,38,8,2.27,34,42,32,50,50,,32,,41,35,44,34,38,32,,,,,
94,Armenia,ARM,EE,94,37,6,3.69,31,43,21,47,,,40,,21,47,43,,,32,,37,,,
94,Colombia,COL,AM,94,37,7,1.68,34,40,32,45,,,45,36,41,,33,36,38,32,,,,,
94,Egypt,EGY,ME,94,37,6,2.91,32,42,31,50,,,32,,31,,50,39,38,32,,,,,
94,Gabon,GAB,AF,94,37,4,4.19,30,44,31,49,,,,,31,,49,,38,32,,,,,
94,Liberia,LBR,AF,94,37,6,3.09,32,42,26,45,45,,45,,41,35,,26,,32,,,,,
94,Panama,PAN,AM,94,37,6,3.49,31,43,28,52,,,28,,31,,39,37,38,52,,,,,
100,Algeria,DZA,ME,100,36,5,2.06,33,39,31,42,,,36,,31,,31,,38,42,,,,,
100,China,CHN,AP,100,36,8,2.17,32,40,28,47,,,28,36,31,,47,41,38,32,37,,,,
100,Suriname,SUR,AM,100,36,3,3.25,31,41,31,42,,,,,31,,35,,,42,,,,,
103,Bolivia,BOL,AM,103,35,7,2.98,30,40,24,47,,,36,,31,47,28,24,38,42,,,,,
103,Mexico,MEX,AM,103,35,8,1.66,32,38,29,42,,41,32,34,31,,34,29,38,42,,,,,
103,Moldova,MDA,EE,103,35,8,2.70,31,39,24,47,,,40,,31,47,29,24,38,42,,31,,,
103,Niger,NER,AF,103,35,5,3.99,28,42,21,45,45,,40,,21,35,,,,32,,,,,
107,Argentina,ARG,AM,107,34,7,2.42,30,38,24,42,,,40,31,31,,24,42,38,32,,,,,
107,Djibouti,DJI,AF,107,34,3,9.10,19,49,23,52,27,,,,,23,,,,52,,,,,
107,Indonesia,IDN,AP,107,34,8,3.57,28,40,21,50,,,36,41,50,,43,28,21,32,24,,,,
110,Albania,ALB,EE,110,33,7,1.51,31,35,26,38,,,32,,31,,37,26,38,32,,37,,,
110,Ecuador,ECU,AM,110,33,5,3.56,27,39,21,41,,,32,,41,,,39,21,32,,,,,
110,Ethiopia,ETH,AF,110,33,8,2.54,29,37,22,42,42,,23,,31,35,35,37,38,22,,,,,
110,Kosovo,LWI,EE,110,33,3,2.33,29,37,29,36,,,36,,,35,,,,,,29,,,
110,Malawi,MWI,AF,110,33,8,3.03,28,38,21,45,42,,45,,31,23,39,35,21,32,,,,,
115,Côte d´Ivoire,CIV,AF,115,32,8,4.20,25,39,19,55,35,,19,,21,35,55,33,38,22,,,,,
115,Dominican Republic,DOM,AM,115,32,6,3.30,27,37,22,42,,,23,,22,,36,29,38,42,,,,,
115,Guatemala,GTM,AM,115,32,6,2.96,27,37,21,42,,,36,,31,,42,30,21,32,,,,,
115,Mali,MLI,AF,115,32,6,3.37,26,38,21,42,40,,28,,21,35,26,,,42,,,,,
119,Belarus,BLR,EE,119,31,5,4.04,24,38,21,46,,,32,,21,,,46,,32,,26,,,
119,Mozambique,MOZ,AF,119,31,7,1.89,28,34,22,38,22,,28,,31,35,32,,38,32,,,,,
119,Sierra Leone,SLE,AF,119,31,8,2.30,27,35,21,40,40,,36,,30,35,24,27,21,32,,,,,
119,Tanzania,TZA,AF,119,31,8,3.20,26,36,11,42,42,,32,,31,35,30,30,38,11,,,,,
119,Vietnam,VNM,AP,119,31,8,2.55,27,35,21,41,,,28,,41,35,35,36,21,22,32,,,,
124,Guyana,GUY,AM,124,30,4,3.03,25,35,21,35,,,,,21,35,33,,,32,,,,,
124,Mauritania,MRT,AF,124,30,5,4.23,23,37,20,42,37,,28,,,23,20,,,42,,,,,
126,Azerbaijan,AZE,EE,126,29,6,3.02,24,34,21,38,,,28,,21,,37,,38,32,,21,,,
126,Gambia,GMB,AF,126,29,5,7.55,17,41,12,54,15,,,,31,12,54,,,32,,,,,
126,Honduras,HND,AM,126,29,6,3.49,23,35,21,41,,,32,,21,35,41,,21,22,,,,,
126,Kazakhstan,KAZ,EE,126,29,8,4.40,22,36,11,47,,,28,47,21,,45,36,21,11,,23,,,
126,Nepal,NPL,AP,126,29,5,2.20,25,33,22,35,,,28,,,35,31,31,,22,,,,,
126,Pakistan,PAK,AP,126,29,7,3.24,24,34,19,42,,,19,,31,23,30,21,38,42,,,,,
126,Togo,TGO,AF,126,29,5,3.69,23,35,21,42,27,,32,,21,23,,,,42,,,,,
133,Madagascar,MDG,AF,133,28,8,3.38,22,34,12,42,20,,28,,31,12,28,26,38,42,,,,,
133,Nicaragua,NIC,AM,133,28,7,2.03,25,31,21,35,,,28,,21,35,31,30,21,32,,,,,
133,Timor-Leste,TLS,AP,133,28,3,5.18,19,37,22,38,,,,,,23,38,,,22,,,,,
136,Cameroon,CMR,AF,136,27,8,2.87,22,32,18,42,42,,28,,31,23,34,18,21,22,,,,,
136,Iran,IRN,ME,136,27,6,4.72,19,35,15,43,,,15,,21,,40,43,21,22,,,,,
136,Kyrgyzstan,KGZ,EE,136,27,6,2.35,23,31,19,35,,,23,,,35,28,19,,32,,25.9724311828613,,,
136,Lebanon,LBN,ME,136,27,6,3.37,21,33,16,38,,,23,,21,,16,32,38,32,,,,,
136,Nigeria,NGA,AF,136,27,8,2.82,22,32,19,37,37,,36,,21,35,22,19,21,22,,,,,
136,Russia,RUS,EE,136,27,8,2.61,23,31,21,38,,,28,35,21,,38,35,21,22,,21,,,
142,Comoros,COM,AF,142,26,3,8.75,12,40,12,42,12,,,,,23,,,,42,,,,,
142,Uganda,UGA,AF,142,26,8,3.03,21,31,12,38,30,,36,,21,12,27,22,38,22,,,,,
142,Ukraine,UKR,EE,142,26,8,1.64,23,29,20,32,,,28,26,21,,31,20,21,32,,26,,,
145,Bangladesh,BGD,AP,145,25,7,4.23,18,32,18,50,,,23,,50,23,18,19,21,22,,,,,
145,Guinea,GIN,AF,145,25,7,3.21,20,30,15,40,32,,40,,21,23,15,,21,22,,,,,
145,Kenya,KEN,AF,145,25,8,2.98,20,30,11,35,35,,28,,21,35,33,20,21,11,,,,,
145,Laos,LAO,AP,145,25,4,3.80,19,31,19,36,,,19,,,23,36,,,22,,,,,
145,Papua New Guinea,PNG,AP,145,25,5,4.16,18,32,11,35,,,28,,31,35,,,21,11,,,,,
150,Central African Republic,CAF,AF,150,24,4,1.33,22,26,22,28,22,,28,,,23,,,,22,,,,,
150,Paraguay,PRY,AM,150,24,5,2.95,19,29,21,36,,,36,,21,,22,,21,22,,,,,
152,Congo Republic,COG,AF,152,23,6,4.20,16,30,12,42,42,,19,,21,12,,,21,22,,,,,
152,Tajikistan,TJK,EE,152,23,5,5.32,14,32,11,42,,,15,,,23,42,,,11,,26,,,
154,Chad,TCD,AF,154,22,5,2.95,17,27,12,30,30,,23,,,12,24,,,22,,,,,
154,Democratic Republic of the Congo,COD,AF,154,22,5,4.19,15,29,12,37,37,,19,,21,12,,,,22,,,,,
156,Cambodia,KHM,AP,156,21,7,2.25,17,25,12,27,,,15,,,12,27,25,21,22,26,,,,
156,Myanmar,MMR,AP,156,21,7,2.87,16,26,11,35,,,15,,21,23,20,35,21,11,,,,,
156,Zimbabwe,ZWE,AF,156,21,8,4.18,14,28,0,38,17,,23,,12,-0,34,20,38,22,,,,,
159,Burundi,BDI,AF,159,20,5,3.65,14,26,11,28,27,,23,,,12,28,,,11,,,,,
159,Syria,SYR,ME,159,20,4,5.31,11,29,6,32,,,6,,21,,,,21,32,,,,,
161,Angola,AGO,AF,161,19,6,1.71,16,22,11,23,,,19,,21,23,17,,21,11,,,,,
161,Guinea-Bissau,GNB,AF,161,19,4,2.37,15,23,12,22,20,,,,21,12,,,,22,,,,,
161,Haiti,HTI,AM,161,19,5,2.86,14,24,11,23,,,23,,12,23,23,,,11,,,,,
161,Venezuela,VEN,AM,161,19,7,1.69,16,22,12,25,,,19,25,12,,14,22,21,22,,,,,
161,Yemen,YEM,ME,161,19,6,2.37,15,23,12,28,,,28,,21,12,14,,21,22,,,,,
166,Eritrea,ERI,AF,166,18,4,7.91,5,31,10,42,10,,10,,,12,,,,42,,,,,
166,Libya,LBY,ME,166,18,5,2.81,13,23,11,26,,,19,,12,,26,,21,11,,,,,
166,Uzbekistan,UZB,EE,166,18,6,2.54,14,22,11,27,,,15,,,12,,27,21,11,,21,,,
169,Turkmenistan,TKM,EE,169,17,3,2.85,12,22,11,21,,,19,,,,,,,11,,21,,,
170,Iraq,IRQ,ME,170,16,4,2.37,12,20,11,21,,,19,,12,,,,21,11,,,,,
171,South Sudan,SSD,AF,171,15,3,2.35,11,19,12,20,20,,15,,,12,,,,,,,,,
172,Afghanistan,AFG,AP,172,12,4,1.29,10,14,10,16,,,10,,,12,,16,,11,,,,,
173,Sudan,SDN,ME,173,11,6,3.55,5,17,0,21,20,,15,,2,-0,,,21,11,,,,,
174,Korea (North),PRK,AP,174,8,3,3.35,2,14,1,12,,,10,,12,,,,,1,,,,,
174,Somalia,SOM,AF,174,8,4,2.34,4,12,2,12,2,,6,,12,,,,,11,,,,,
