Country Name,Country Code,WomenProp_1960,WomenProp_1961,WomenProp_1962,WomenProp_1963,WomenProp_1964,WomenProp_1965,WomenProp_1966,WomenProp_1967,WomenProp_1968,WomenProp_1969,WomenProp_1970,WomenProp_1971,WomenProp_1972,WomenProp_1973,WomenProp_1974,WomenProp_1975,WomenProp_1976,WomenProp_1977,WomenProp_1978,WomenProp_1979,WomenProp_1980,WomenProp_1981,WomenProp_1982,WomenProp_1983,WomenProp_1984,WomenProp_1985,WomenProp_1986,WomenProp_1987,WomenProp_1988,WomenProp_1989,WomenProp_1990,WomenProp_1991,WomenProp_1992,WomenProp_1993,WomenProp_1994,WomenProp_1995,WomenProp_1996,WomenProp_1997,WomenProp_1998,WomenProp_1999,WomenProp_2000,WomenProp_2001,WomenProp_2002,WomenProp_2003,WomenProp_2004,WomenProp_2005,WomenProp_2006,WomenProp_2007,WomenProp_2008,WomenProp_2009,WomenProp_2010,WomenProp_2011,WomenProp_2012,WomenProp_2013,WomenProp_2014,WomenProp_2015,WomenProp_2016
"Venezuela, RB",VEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,5.9,5.9,12.1,,9.7,9.7,9.7,9.7,17.4,18.0,18.6,18.6,17.5,17.0,17.0,17.0,17.0,17.0,17.0,14.4
British Virgin Islands,VGB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgin Islands (U.S.),VIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,VNM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7,,,,,,,26.2,26.2,26.0,26.0,26.0,27.3,27.3,27.3,27.3,27.3,25.8,25.8,25.8,25.8,24.4,24.4,24.4,24.3,24.3,26.7
Vanuatu,VUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,0.0,0.0,0.0,1.9,1.9,3.8,3.8,3.8,3.8,3.8,3.8,3.8,1.9,0.0,0.0,0.0,0.0,0.0
World,WLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7333078279,,,,,,,11.6916484492,13.0672780222,13.5183124588,13.9051783622,14.0863857077,15.1640703674,15.1757387847,15.8974391624,16.481822127,16.9776763284,17.8701828791,18.4456543858,19.0284570039,19.1596428571,19.8291592503,20.7571878713,21.7657243356,22.1844380937,22.8521658792,23.0203347688
Samoa,WSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,4.1,4.1,8.2,8.2,6.1,6.1,6.1,6.1,6.1,6.1,8.2,8.2,8.2,8.2,4.1,4.1,4.1,6.1,6.1,10.0
Kosovo,XKX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yemen, Rep.",YEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,,,,,,,,0.7,0.7,0.7,0.7,0.7,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.0,0.0
South Africa,ZAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,,,25.0,28.8,30.0,29.8,29.8,29.8,29.8,32.8,32.8,32.8,33.0,33.0,44.5,44.5,42.3,42.3,42.3,41.5,42.0,41.8
Zambia,ZMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,,,,,,,9.7,10.3,10.1,10.1,10.1,12.0,12.0,12.0,12.7,14.6,15.2,15.2,14.0,14.0,11.5,11.5,11.5,10.8,12.7,18.0
Zimbabwe,ZWE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,14.7,14.7,14.0,9.3,10.0,10.0,10.0,10.0,16.0,16.7,16.0,15.2,15.0,15.0,15.0,15.0,31.5,31.5,31.5,31.5
