Country Name,Country Code,CommTotTax_1960,CommTotTax_1961,CommTotTax_1962,CommTotTax_1963,CommTotTax_1964,CommTotTax_1965,CommTotTax_1966,CommTotTax_1967,CommTotTax_1968,CommTotTax_1969,CommTotTax_1970,CommTotTax_1971,CommTotTax_1972,CommTotTax_1973,CommTotTax_1974,CommTotTax_1975,CommTotTax_1976,CommTotTax_1977,CommTotTax_1978,CommTotTax_1979,CommTotTax_1980,CommTotTax_1981,CommTotTax_1982,CommTotTax_1983,CommTotTax_1984,CommTotTax_1985,CommTotTax_1986,CommTotTax_1987,CommTotTax_1988,CommTotTax_1989,CommTotTax_1990,CommTotTax_1991,CommTotTax_1992,CommTotTax_1993,CommTotTax_1994,CommTotTax_1995,CommTotTax_1996,CommTotTax_1997,CommTotTax_1998,CommTotTax_1999,CommTotTax_2000,CommTotTax_2001,CommTotTax_2002,CommTotTax_2003,CommTotTax_2004,CommTotTax_2005,CommTotTax_2006,CommTotTax_2007,CommTotTax_2008,CommTotTax_2009,CommTotTax_2010,CommTotTax_2011,CommTotTax_2012,CommTotTax_2013,CommTotTax_2014,CommTotTax_2015,CommTotTax_2016
Northern Mariana Islands,MNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,MOZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,36.1,36.1,36.1,36.1
Mauritania,MRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.7,94.7,94.7,85.8,85.8,68.2,68.2,68.2,65.6,71.3,71.3,71.3
Mauritius,MUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.2,26.0,24.2,25.8,26.0,26.5,25.8,26.9,24.5,23.6,21.5,21.8
Malawi,MWI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.4,33.4,33.0,32.2,26.3,25.9,29.0,32.4,33.5,35.2,34.5,34.5
Malaysia,MYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,36.0,36.0,34.5,33.5,33.9,34.1,34.6,39.1,39.3,40.0,40.0
North America,NAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.5,46.05,45.0,45.25,44.15,34.25,33.55,33.25,31.85,32.45,32.5,32.5
Namibia,NAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.8,25.8,25.8,22.8,22.3,22.3,21.8,21.8,21.2,20.7,21.3,20.7
New Caledonia,NCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,NER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.5,42.5,42.6,42.5,46.7,46.7,44.3,44.3,47.3,47.8,48.2,48.2
Nigeria,NGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.5,31.3,31.3,31.3,31.3,31.3,31.8,32.2,32.4,32.4,33.3,34.3
Nicaragua,NIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.5,63.5,63.5,63.3,63.3,63.3,64.1,62.4,62.4,59.3,60.1,60.8
Netherlands,NLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.7,44.6,41.8,38.2,38.5,39.4,39.6,39.2,39.5,39.0,41.0,40.4
Norway,NOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.1,41.1,41.1,40.7,40.7,40.7,40.7,40.7,40.7,40.4,39.5,39.5
Nepal,NPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5,32.5,32.8,34.1,32.5,31.7,31.5,31.5,29.5,29.5,29.5,29.5
Nauru,NRU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,NZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.6,35.4,35.5,36.0,33.2,34.7,34.4,34.0,34.4,34.4,34.3,34.3
OECD members,OED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.4117647059,44.6514285714,43.9885714286,43.5857142857,42.7628571429,41.7657142857,41.3485714286,41.66,41.5514285714,41.7428571429,41.2542857143,41.0542857143
Oman,OMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5,20.3,21.6,21.6,21.6,21.6,22.0,22.0,23.0,22.9,23.4,23.9
Other small states,OSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.7105263158,57.3428571429,53.247826087,51.0166666667,49.2916666667,47.4833333333,46.768,47.3230769231,46.5038461538,38.2461538462,37.7461538462,38.8846153846
Pakistan,PAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.7,43.9,43.7,31.6,34.5,33.8,39.1,39.1,32.4,32.6,32.9,33.3
Panama,PAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.9,44.1,44.7,43.8,43.8,43.8,43.6,40.5,37.0,37.2,37.2,37.2
Peru,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.9,38.8,38.8,39.1,38.2,38.2,37.6,37.4,36.0,37.3,37.3,35.6
Philippines,PHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.2,47.6,49.1,47.1,47.1,43.8,44.5,44.5,42.5,42.5,42.9,42.9
Palau,PLW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.5,72.5,72.5,72.5,72.5,72.5,72.5,75.2,75.0,75.4,75.4,75.4
Papua New Guinea,PNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.5,41.5,41.5,41.5,42.1,42.1,42.1,42.1,39.3,39.3,39.3,39.3
Poland,POL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.2,43.2,43.4,45.1,42.2,40.6,40.1,40.3,40.1,40.1,40.3,40.4
Pre-demographic dividend,PRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.3441176471,85.6085714286,84.4857142857,82.9171428571,82.8342857143,79.9542857143,66.4314285714,65.0416666667,56.5611111111,50.2,50.3805555556,51.7472222222
Puerto Rico,PRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.6,57.6,57.6,60.6,60.6,63.6,63.1,50.4,49.6,66.0,65.8,62.3
"Korea, Dem. People’s Rep.",PRK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,PRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.8,43.8,42.9,42.5,42.3,42.6,42.6,41.9,42.3,42.3,40.9,39.8
Paraguay,PRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.5,44.8,35.1,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
West Bank and Gaza,PSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.5,18.1,16.8,16.5,16.5,16.5,0.4,16.5,16.5,15.3,15.3,15.3
Pacific island small states,PSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0555555556,39.0555555556,38.9555555556,38.8555555556,38.6333333333,38.4777777778,38.4,38.6222222222,39.1777777778,39.2444444444,39.2444444444,39.5111111111
Post-demographic dividend,PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.4696969697,47.3088235294,46.2411764706,45.7823529412,43.75,41.9764705882,40.6,40.3055555556,40.3444444444,40.45,39.9638888889,39.8555555556
French Polynesia,PYF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,QAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3
Romania,ROU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.8,48.2,45.6,45.4,45.5,44.0,43.5,43.3,43.2,43.2,42.0,38.4
Russian Federation,RUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,51.2,51.2,48.3,48.3,46.5,46.9,54.1,48.7,48.9,47.0,47.4
Rwanda,RWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.2,41.2,37.2,37.1,34.7,34.7,34.7,34.5,33.0,33.0,33.0,33.0
South Asia,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.5875,41.55,41.8875,40.125,39.6125,43.625,46.0375,40.9,39.1875,39.4375,39.325,40.85
Saudi Arabia,SAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9,14.6,14.6,14.6,14.7,14.7,14.7,14.7,14.6,14.6,15.0,15.7
Sudan,SDN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.7,36.1,36.1,36.1,36.1,36.1,36.1,36.1,45.4,45.4,45.4,45.4
Senegal,SEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.3,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.3,45.1,47.3,45.1
Singapore,SGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.2,22.4,21.8,24.2,24.1,23.4,23.8,18.4,18.6,18.0,18.0,19.1
Solomon Islands,SLB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.1,26.1,26.1,26.1,26.1,26.2,26.2,25.3,32.0,32.0,32.0,32.0
Sierra Leone,SLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.0,272.0,235.2,235.2,235.2,235.2,32.4,32.4,31.0,31.0,31.0,31.0
El Salvador,SLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,38.7,38.8,38.8,38.8
San Marino,SMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.1,40.1,40.1,40.5,35.4
Somalia,SOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,SRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.9,32.9,32.9,31.2,31.2,33.3,33.3,33.3,33.2,38.6,39.7,39.7
Sub-Saharan Africa (excluding high income),SSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0863636364,73.98,73.2644444444,72.6355555556,72.1577777778,69.4311111111,58.8666666667,58.15,51.2826086957,46.297826087,46.4913043478,47.3260869565
South Sudan,SSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.4,29.2,29.0,29.0,29.1
Sub-Saharan Africa,SSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.56,73.4239130435,72.7239130435,72.0695652174,71.547826087,68.8347826087,58.2391304348,57.4127659574,50.7340425532,45.9468085106,46.1425531915,46.9595744681
Small states,SST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.7820512821,48.9195121951,46.8818181818,45.7533333333,44.6422222222,43.4666666667,42.9361702128,43.34375,42.95625,38.2208333333,37.7041666667,38.3125
Sao Tome and Principe,STP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.7,49.8,51.5,51.5,50.7,37.9,37.9,37.9,38.2,37.8,37.4,37.4
Suriname,SUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9
Slovak Republic,SVK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,48.6,48.6,48.5,49.4,50.0,50.2,50.2,49.3,51.8,51.7,51.6
Slovenia,SVN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.2,39.2,38.4,34.9,35.8,33.6,32.9,32.9,31.4,31.0,31.0,31.0
Sweden,SWE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.1,54.1,53.8,53.8,53.9,52.1,52.1,52.1,52.1,49.1,49.1,49.1
Swaziland,SWZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.6,36.6,36.6,36.6,36.6,36.8,37.6,36.8,36.7,36.9,34.7,35.1
Sint Maarten (Dutch part),SXM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,SYC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.4,48.4,48.4,46.6,44.1,42.0,30.0,23.5,25.5,29.8,30.1,30.1
Syrian Arab Republic,SYR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.5,43.5,43.5,40.5,39.9,39.9,39.9,39.9,39.9,42.7,42.7,42.7
Turks and Caicos Islands,TCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,TCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,74.0,74.0,71.3,71.3,75.8,75.8,75.7,72.4,63.5,63.5,63.5
East Asia & Pacific (IDA & IBRD countries),TEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.815,40.88,40.925,39.46,37.655,36.2,36.79,36.8428571429,36.2047619048,36.3285714286,36.1666666667,36.3238095238
Europe & Central Asia (IDA & IBRD countries),TEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.085,52.4904761905,48.1,47.6666666667,42.7681818182,39.7909090909,38.7772727273,38.7909090909,37.2727272727,34.5227272727,35.0136363636,33.9863636364
Togo,TGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5,52.5,52.6,52.6,52.5,50.3,48.9,48.9,48.9,50.3,48.5,48.5
Thailand,THA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.5,40.6,40.5,40.7,40.0,40.0,44.6,44.4,29.2,31.8,32.6,32.6
Tajikistan,TJK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.9,79.9,80.0,83.4,83.8,84.0,84.5,84.5,80.9,81.8,81.8,65.2
Turkmenistan,TKM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.5866666667,48.9966666667,48.7433333333,47.3966666667,47.2633333333,46.8033333333,46.9833333333,46.9966666667,47.34,47.6633333333,47.28,46.0433333333
Timor-Leste,TLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.9,48.9,48.9,33.1,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2
Middle East & North Africa (IDA & IBRD countries),TMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.7363636364,45.9454545455,45.6909090909,44.7,44.4454545455,44.5090909091,42.9909090909,41.9666666667,41.5916666667,42.2083333333,42.0583333333,41.2
Tonga,TON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5,27.5,27.5,27.5,25.8,26.2,26.2,26.2,30.1,30.1,30.1,30.1
South Asia (IDA & IBRD),TSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.5875,41.55,41.8875,40.125,39.6125,43.625,46.0375,40.9,39.1875,39.4375,39.325,40.85
Sub-Saharan Africa (IDA & IBRD countries),TSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.56,73.4239130435,72.7239130435,72.0695652174,71.547826087,68.8347826087,58.2391304348,57.4127659574,50.7340425532,45.9468085106,46.1425531915,46.9595744681
Trinidad and Tobago,TTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.2,39.2,35.0,36.3,36.3,35.0,31.0,31.0,31.5,32.0,32.2,32.2
Tunisia,TUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.2,61.2,61.2,59.1,62.8,62.8,62.8,62.8,62.4,62.8,60.2,60.2
Turkey,TUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.1,52.7,44.5,44.5,43.5,43.5,40.2,40.2,39.7,40.5,41.1,41.1
Tuvalu,TUV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,TZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.8,43.8,43.9,44.4,44.4,44.4,44.9,44.9,44.3,44.3,43.9,43.9
Uganda,UGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.7,35.0,36.6,35.4,36.6,36.6,33.5,33.5,36.5,33.5,33.5,33.5
Ukraine,UKR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.3,57.0,56.6,57.2,57.2,55.5,57.1,55.4,54.4,52.7,52.2,51.9
Upper middle income,UMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.1265306122,45.136,44.148,43.372,42.088,40.734,40.406,40.7411764706,40.031372549,40.4411764706,40.4862745098,40.2607843137
Uruguay,URY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.3,71.3,71.3,43.0,41.9,41.9,41.9,41.9,41.8,41.8,41.8,41.8
United States,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.5,47.1,45.7,46.4,46.0,46.5,46.4,46.4,43.8,43.8,43.9,44.0
Uzbekistan,UZB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.7,112.1,90.3,89.8,95.0,95.8,97.7,98.7,93.7,42.1,41.1,38.1
St. Vincent and the Grenadines,VCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,45.0,45.0,42.6,41.0,38.7,38.7,38.7,38.6,38.6,39.3,39.3
"Venezuela, RB",VEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.2,49.8,53.6,55.6,60.4,51.9,62.8,61.8,65.4,65.4,65.0,64.7
British Virgin Islands,VGB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgin Islands (U.S.),VIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,VNM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.9,39.9,39.9,39.9,39.9,33.0,39.9,35.3,40.8,40.8,39.4,39.4
Vanuatu,VUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.5,8.5,8.5,8.5
World,WLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.3545977011,52.2398876404,50.9613259669,50.0,48.8202185792,47.4912568306,44.5578378378,44.1100529101,42.1666666667,40.8428571429,40.7021164021,40.5513227513
Samoa,WSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.3,19.3,19.3,18.4,18.4,18.4,18.4,18.4,18.4,18.1,18.1,18.5
Kosovo,XKX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.3,16.5,15.8,15.6,15.4,15.4,15.2,15.2
"Yemen, Rep.",YEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.7,49.4,49.4,49.3,49.3,49.3,34.5,33.6,33.3,33.1,33.1,33.1
South Africa,ZAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.1,36.6,36.1,33.3,30.0,30.2,31.8,32.0,28.7,28.9,28.8,28.8
Zambia,ZMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4,15.4,15.0,15.0,15.0,14.3,14.4,16.2,15.9,15.5,18.6,18.6
Zimbabwe,ZWE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.1,30.2,49.3,66.3,36.1,37.0,32.5,32.7,32.4,32.5,32.8,32.8
